cell,child_canon,child_t1_floored,child_t1_raw,outcome,parent_canon,parent_t1_floored,parent_t1_raw,step
connection/4/1,a06f889a106d02cfb5a925b9b1f51b7e3febd5ebd8ac806769d5505e606ee8bb,0.3125,0.3125,lost_first_batch,b461c5160c5ed04233dd29faf1100243fd2f73c0799f0650f2fcdae5d56e69cb,0.5,0.5,77
connection/4/2,e974ace2bf6c4b5669d7ad2c7a598c3395721fa44b865512c03810a9f47a9ba4,0.45833333333333337,0.45833333333333337,lost_first_batch,eb87eae703d22a7d7443c6423df48d6fd18695352f45d8982af273df9ef13fb6,0.45833333333333337,0.45833333333333337,78
territory/3/2,60be24e4f0069e674256d9ef5a5b8ccdc129c0c92dbf7ce46c94c1d213f5f364,0.47916666666666663,0.47916666666666663,replaced,7e9d7eb3a5e2394e45fee42b25295d367c9ff6c5763fe5399cd4cd1606351928,0.45833333333333337,0.45833333333333337,79
connection/2/2,ece23453f7b33bac329a589648f27fed732de3a30bd81e38663e923f26197268,0.47916666666666663,0.47916666666666663,lost_first_batch,5b387b192e6d5dc5fb247d9bb915b66fd6f513dc1a6c6275fadc72099cca5380,0.47916666666666663,0.47916666666666663,80
connection/0/0,9b75ad770b5f8ddff3e2504e4d8ccf77cf54ccf355fb9e53452be0b9b8c63b33,0.0,0.0,t1_invalid_draw_majority,d8672edff2a47be5767a0c2fd104f02c75b0d09b3d358aca025d31936569e5b8,0.41666666666666663,0.41666666666666663,81
threshold/2/1,4284e69248d391c1d32f9d5d57ff3442894bfdddb9028ad436628b922cca321b,0.0,-0.125,guard_vetoed_tilt,f6d9a822ddf2a52fcca714adb2e422aea31de052a0b96c574cfc60ce24667364,0.41666666666666663,0.41666666666666663,82
territory/4/0,d33039283664af6c1e5882321e32e0a2a81e5d69047aaa6b2c691e843d07179e,0.45833333333333337,0.45833333333333337,filled_empty_cell,af20a5d893042a1b54586b9b3402aac515da6134b7b33b29cd9b79c54b23d9a3,0.5,0.5,83
territory/4/2,73f24fff3d1472c21bec22f2e029934368d8565a69f584626d177daebfb88f4f,0.45833333333333337,0.45833333333333337,lost_first_batch,60be24e4f0069e674256d9ef5a5b8ccdc129c0c92dbf7ce46c94c1d213f5f364,0.47916666666666663,0.47916666666666663,84
elimination/0/0,ed0df12c8798cfc700e147fcaa301e5793f4970074d9015e2c146b5d6f7522ea,0.0,0.0,t1_invalid_too_short,866574be004e6346eab9248d64cc5a10198ef3bb913887feffe7380e1184de5e,0.29166666666666663,0.29166666666666663,85
connection/4/2,dd8f2e175fef300a4d7ce5e410dda2446e0ed066c444e8313d911d8eff5b877e,0.25,0.25,lost_first_batch,b461c5160c5ed04233dd29faf1100243fd2f73c0799f0650f2fcdae5d56e69cb,0.5,0.5,86
connection/3/3,a1c6488c8759b3afdb123d16daf2455a64c279a40a7ed3e45e99e27e1bd3e611,0.16666666666666663,0.16666666666666663,lost_first_batch,866574be004e6346eab9248d64cc5a10198ef3bb913887feffe7380e1184de5e,0.29166666666666663,0.29166666666666663,87
